"sequencial","dataadmissao","transferido","codigoatleta","codigoclube"
15048,2015-08-15,false,18698,12
15049,2015-08-15,false,18699,12
15050,2015-08-16,false,18700,47
15051,2015-08-16,false,18701,47
15052,2015-08-16,false,18702,47
15053,2015-08-16,false,18703,47
15054,2015-08-16,false,18704,47
15055,2015-08-16,false,18705,47
15056,2015-08-16,false,18706,47
15057,2015-08-16,false,18707,47
15058,2015-08-15,false,18708,38
15059,2015-08-15,false,18709,38
15060,2015-08-15,false,18710,38
15061,2015-08-15,false,18711,38
15062,2015-08-15,false,18712,38
15063,2015-08-15,false,18713,38
15064,2015-08-15,false,18714,38
15065,2016-12-04,false,18715,32
15066,2015-08-14,false,18717,32
15067,2015-08-14,false,18718,32
15068,2015-08-14,false,18719,32
15069,2015-08-14,false,18720,32
15070,2015-08-14,false,18722,32
15071,2015-08-23,false,18723,42
15072,2015-08-23,false,18724,42
15073,2015-08-23,false,18725,42
15074,2015-08-23,false,18726,42
15075,2015-08-23,false,18727,42
15076,2015-08-23,false,18728,42
15077,2015-08-23,false,18729,42
15078,2015-08-23,false,18730,42
15079,2014-11-29,false,18731,23
15080,2015-09-19,false,18732,28
15081,2015-09-19,false,18733,28
15082,2015-09-19,false,18734,28
15083,1900-01-01,false,18737,28
15084,2015-09-19,false,18738,28
15085,2015-09-19,false,18739,28
15086,2015-09-19,false,18740,28
15087,2015-09-19,false,18741,28
15088,2015-09-19,false,18743,28
15089,2015-09-19,false,18744,28
15090,2015-09-19,false,18745,28
15091,2015-09-19,false,18746,28
15092,2015-09-19,false,18747,28
15093,2015-09-19,false,18748,28
15094,2015-09-19,false,18749,28
15095,2015-09-19,false,18750,28
15096,1900-01-01,false,18751,28
15097,2015-09-19,false,18753,28
15098,2015-09-26,false,18754,24
15099,2015-09-26,false,18755,24
15100,2015-09-26,false,18756,24
15101,2015-10-04,false,18758,38
15102,2015-10-04,false,18759,38
15103,2015-10-04,false,18760,38
15104,2015-10-04,false,18761,12
15105,2015-10-04,false,18762,12
15106,2015-10-04,false,18763,12
15107,2015-10-04,false,18764,12
15108,2015-10-04,false,18765,12
15109,2015-10-04,false,18766,12
15110,1900-01-01,false,18767,12
15111,2015-10-04,false,18769,12
15112,2015-10-04,false,18770,12
15113,2015-10-04,false,18771,12
15114,2015-10-04,false,18772,12
15115,2015-10-04,false,18773,12
15116,2015-10-04,false,18774,12
15117,2015-10-04,false,18775,12
15118,2015-10-04,false,18776,12
15119,2015-10-04,false,18777,12
15120,2015-10-04,false,18778,12
15121,2015-10-04,false,18779,12
15122,2015-10-04,false,18780,12
15123,2015-10-04,false,18781,12
15124,2015-10-04,false,18782,12
15125,2015-10-04,false,18783,12
15126,2015-10-04,false,18784,12
15127,2015-10-04,false,18785,12
15128,2015-09-19,false,18786,27
15129,2015-09-19,false,18787,18
15130,2015-09-19,false,18790,18
15131,2015-09-19,false,18791,23
15132,2015-09-19,false,18792,23
15133,2015-09-19,false,18793,23
15134,2015-09-19,false,18794,23
15135,2015-09-19,false,18795,23
15136,2015-09-19,false,18796,23
15137,2015-09-19,false,18797,23
15138,2015-09-19,false,18798,23
15139,2015-09-19,false,18799,23
15140,2015-09-19,false,18800,23
15141,2015-09-19,false,18801,23
15142,2015-09-19,false,18802,23
15143,2015-09-19,false,18803,23
15144,2015-09-19,false,18804,23
15145,1900-01-01,false,18805,23
15146,2015-09-19,false,18807,23
15147,2015-09-19,false,18808,23
15148,2015-09-19,false,18809,23
15149,2015-09-19,false,18810,23
15150,2015-09-19,false,18811,23
15151,2015-09-19,false,18812,23
15152,2015-09-19,false,18813,23
15153,2015-09-19,false,18814,23
15154,2015-09-19,false,18815,23
15155,2015-09-19,false,18816,23
15156,2015-09-19,false,18817,23
15157,2015-09-19,false,18818,23
15158,2015-10-24,false,18819,23
15159,2015-10-24,false,18820,23
15160,2015-10-24,false,18821,23
15161,2015-10-24,false,18822,27
15162,2015-10-24,false,18823,27
15163,2015-10-24,false,18824,27
15164,2015-10-24,false,18825,27
15165,2015-10-24,false,18826,27
15166,2015-10-24,false,18827,27
15167,2015-10-24,false,18828,27
15168,2015-10-24,false,18829,27
15169,2015-10-24,false,18830,27
15170,2015-10-24,false,18831,27
15171,2015-10-24,false,18832,27
15172,2015-10-24,false,18833,27
15173,2015-10-24,false,18834,27
15174,2015-10-24,false,18835,27
15175,2015-10-24,false,18836,27
15176,2015-10-24,false,18837,27
15177,2015-10-25,false,18838,47
15178,2015-10-25,false,18839,47
15179,2015-10-25,false,18840,47
15180,2015-10-25,false,18841,47
15181,2015-10-25,false,18842,47
15182,2015-10-25,false,18843,47
15183,2015-10-25,false,18844,47
15184,2015-10-25,false,18845,47
15185,2015-10-25,false,18846,47
15186,2015-10-25,false,18848,47
15187,2015-09-26,false,18849,46
15188,2015-09-26,false,18850,46
15189,2015-09-26,false,18851,46
15190,2015-09-26,false,18852,46
15191,2015-09-26,false,18853,46
15192,2015-09-26,false,18854,46
15193,2015-09-26,false,18855,46
